CONST, CONST
max, IDENT
=, IGUAL
10, NUMERO
;, PONTO_E_VIRGULA
VAR, VAR
i, IDENT
,, VIRGULA
sum, IDENT
;, PONTO_E_VIRGULA
PROCEDURE, PROCEDURE
calculateSum, IDENT
;, PONTO_E_VIRGULA
VAR, VAR
temp, IDENT
;, PONTO_E_VIRGULA
BEGIN, BEGIN
temp, IDENT
:=, ATRIBUICAO
0, IDENT
;, PONTO_E_VIRGULA
i, IDENT
:=, ATRIBUICAO
1, IDENT
;, PONTO_E_VIRGULA
WHILE, WHILE
i, IDENT
<=, MENOR_IGUAL
max, IDENT
DO, DO
BEGIN, BEGIN
temp, IDENT
:=, ATRIBUICAO
temp, IDENT
+, SOMA
i, IDENT
;, PONTO_E_VIRGULA
i, IDENT
:=, ATRIBUICAO
i, IDENT
+, SOMA
1, NUMERO
;, PONTO_E_VIRGULA
END, END
;, PONTO_E_VIRGULA
sum, IDENT
:=, ATRIBUICAO
temp, IDENT
END, END
;, PONTO_E_VIRGULA
BEGIN, BEGIN
CALL, CALL
calculateSum, IDENT
;, PONTO_E_VIRGULA
IF, IF
sum, IDENT
=, IGUAL
55, NUMERO
THEN, THEN
sum, IDENT
:=, ATRIBUICAO
100, NUMERO
;, PONTO_E_VIRGULA
WHILE, WHILE
sum, IDENT
>, MAIOR
0, IDENT
DO, DO
sum, IDENT
:=, ATRIBUICAO
sum, IDENT
-, SUBTRACAO
1, IDENT
END, END
